FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00096	HG00096	-0.0119344	-0.0277294	0.0118489	-0.0198658	0.0114107	0.00699196	-0.0070671	-0.02653	0.00666131	0.00279883
HG00097	HG00097	-0.00984363	-0.0282088	0.0141361	-0.0164468	-0.00837825	0.00847365	-0.0222537	0.0136929	0.0144151	0.0194726
HG00099	HG00099	-0.0103784	-0.0247489	0.00688653	-0.0102538	0.0169336	0.018339	0.00282783	0.008853	-0.0229036	-0.0172431
HG00100	HG00100	-0.00947386	-0.0282974	0.0120627	-0.0205653	0.0243582	-0.00219842	0.0085919	0.00489938	0.0194208	-0.0197302
HG00101	HG00101	-0.00935286	-0.0259764	0.0109106	-0.0150061	-0.0151145	0.00362078	-0.00186365	0.00125322	-0.0153078	0.0210618
HG00102	HG00102	-0.0111394	-0.026704	0.0130794	-0.0218967	-0.0286817	0.0074812	-0.0100981	0.0116436	-0.0467161	0.0321812
HG00103	HG00103	-0.00951157	-0.0255068	0.00599269	-0.0180452	-0.00057348	0.0122486	0.00464412	-0.0146857	-0.00425967	-0.0296837
HG00105	HG00105	-0.0109266	-0.0247042	0.0142852	-0.0106633	-0.0150803	-0.0330849	-0.0220526	0.0396217	-0.0126325	-0.0514372
HG00106	HG00106	-0.00852	-0.0287517	0.00693904	-0.0224122	-0.00202947	0.0316945	-0.0259475	-0.0593063	-0.00772696	0.0207132
HG00107	HG00107	-0.00975455	-0.0279564	0.0120299	-0.0160589	-0.00883467	-0.0139213	-0.0238035	0.00569765	0.0226996	-0.0119214
HG00108	HG00108	-0.0100235	-0.0287811	0.0145295	-0.00781754	-0.0146659	-0.000603039	-0.0216883	0.039406	0.0135495	-0.0107655
HG00109	HG00109	-0.010325	-0.0267276	0.0102406	-0.0153785	-0.017553	0.00921737	0.0046805	0.0322378	0.0295883	-0.00657464
HG00110	HG00110	-0.00986898	-0.0281667	0.00999975	-0.0176177	-0.0174596	0.0170946	-0.0125681	0.00833664	-0.0128758	0.00512673
HG00111	HG00111	-0.00976742	-0.0280559	0.00977657	-0.013969	-0.00862242	-0.0288534	-0.00438316	0.0106929	-0.033907	-0.0198349
HG00112	HG00112	-0.0107858	-0.0252444	0.00528191	-0.0116141	0.035444	0.0150679	-0.0256922	0.0111761	0.0339682	-0.00157893
