"sample","score_1","score_2","score_3","score_4"
"HG00096","-42.00747179728933","27.13194527500309","-0.9730912544764578","-10.603017942630686"
"HG00097","-36.34854875004385","26.031874620588496","3.540835515363142","-4.874969664844684"
"HG00099","-29.53522051894106","23.908487330190837","5.005412643309683","-4.555071430862881"
"HG00100","-43.114006575080566","27.78628757316619","5.201311043929309","-0.7759322803467512"
"HG00101","-42.42645944119431","20.4504207149148","1.235749193932861","-9.140756972599775"
"HG00102","-42.49571889429353","21.665656899800524","8.49506457685493","-8.404276519548148"
"HG00103","-39.80055711988825","21.33976650238037","-3.3004378193290904","-9.507702587055974"
"HG00105","-44.44612840958871","22.4558369028382","6.317016850691289","0.06543847778812051"
"HG00106","-36.36839019996114","24.348069976549596","1.1382020711898804","-5.51542435598094"
"HG00107","-38.370586690842174","18.81496791774407","-0.49502469203434885","-8.593635534169152"
"HG00108","-49.46173333097249","25.109376415610313","-1.5490886594634503","-6.23122270568274"
"HG00109","-35.76275056286249","21.81460726261139","0.11001721990760416","0.1951479148119688"
"HG00110","-35.30903516232502","5.400105865206569","4.9680882438551635","-8.438955830875784"
"HG00111","-38.42700375034474","19.605496319942176","9.201485463185236","3.9767342363484204"
"HG00112","-46.75980343914125","24.137314865365624","-4.147151143872179","-7.787467767600901"
"HG00113","-34.43689746968448","24.863587798317894","6.239612369914539","-9.751542886137031"
"HG00114","-32.694618381909095","24.25994521379471","6.417518783826381","-5.610045588109642"
"HG00115","-43.13121328712441","20.74598240852356","-5.899242215324193","-7.910757136764005"
"HG00116","-31.634196730563417","25.458003531675786","2.508895549690351","2.724912090692669"
"HG00117","-40.125710636377335","27.367035508155823","3.487058421014808","5.2848827582784"
"HG00118","-36.2831588499248","20.319407568546012","1.122580812429078","13.894521330250427"
"HG00119","-45.979856980848126","24.859696279279888","-0.6505760825239122","-0.11272723064757884"
"HG00120","-33.52057847438846","27.26367160049267","2.523442349396646","-1.8603573336731642"
"HG00121","-33.59988300059922","26.024597644805908","2.4324727815110236","-13.128994769533165"
"HG00122","-46.17880273796618","24.144348081666976","4.520201318664476","-6.2563659941079095"
"HG00123","-38.65457937458996","25.26909339427948","5.455565767479129","-5.3611153333913535"
"HG00125","-31.603826078702696","26.75485050678253","13.377996419323608","-12.83649772789795"
"HG00126","-40.258348365547135","23.194879388203844","7.913813950261101","-16.133945943787694"
"HG00127","-37.220994346542284","17.94965505611617","-0.9078152973670512","-10.524688359466381"
"HG00128","-50.37907515303232","21.477460364811122","-0.08464752743020654","1.7355725474189967"
"HG00129","-49.870605034870096","27.265413522720337","3.730988016934134","-8.399509410606697"
"HG00130","-34.68392348079942","24.01172418706119","-5.901380967348814","-6.8478780530858785"
"HG00131","-47.74193027149886","23.009137511253357","9.19437273486983","-5.50369747064542"
"HG00132","-41.28378977999091","20.993851706385612","2.08882069401443","-3.4903612515190616"
"HG00133","-42.501417666557245","20.029839873313904","6.550036477507092","-8.435016806586646"
"HG00136","-39.784997146809474","19.521246833493933","2.2037975979037583","-7.702922290191054"
"HG00137","-42.98151871515438","10.065386095782742","-1.0237206779420376","-13.797665731282905"
"HG00138","-28.291180765721947","25.61523112724535","5.351521323551424","0.13948689540848136"
"HG00139","-37.317885222961195","19.397534302901477","-4.580477900337428","-0.20223748974967748"
"HG00140","-34.366382619016804","23.719564330065623","3.2467498255427927","-0.6650718285236508"
"HG00141","-31.20560523774475","22.037716388702393","2.4371403781697154","-14.844893355970271"
"HG00142","-48.6595452335896","22.966120108379982","4.711871698498726","-7.218866069451906"
"HG00143","-37.0750863684807","24.83987882686779","-1.7130057000322267","-2.0177419860847294"
"HG00145","-40.05685247387737","26.12048293184489","4.9762465711683035","6.973825316294096"
"HG00146","-40.98033906449564","28.243561218958348","4.368188990280032","1.9197347594890743"
"HG00148","-37.946931855753064","26.74122196249664","4.015414911322296","-1.3171218081843108"
"HG00149","-49.1972721676575","21.068183260271326","-7.156954407226294","-6.9147298720199615"
"HG00150","-38.51081319840159","23.81966751557775","-2.1626717841718346","1.854936083778739"
"HG00151","-29.572574025252834","22.52672105934471","9.298776156036183","1.8837154286447912"
"HG00154","-37.91206330538262","26.40092501579784","0.333181242342107","-12.161731832660735"
"HG00155","-41.14218296064064","22.787268278654665","7.50986269954592","-10.343056970275939"
"HG00157","-35.854253222816624","25.61365032196045","-3.458001837832853","0.6412035326939076"
"HG00158","-38.724456597468816","19.06833762768656","4.523607439594343","-6.977158330497332"
"HG00159","-47.62154731201008","25.697675415314734","0.9096047412604094","-6.071486319531687"
"HG00160","-40.14763161272276","27.38840363919735","7.030229825060815","-4.027203810866922"
"HG00171","-39.493102204753086","25.175448845606297","7.194896024768241","-8.983924316591583"
"HG00173","-38.15005328482948","27.32897665305063","3.92535483953543","-3.4154377474915236"
"HG00174","-38.17210476449691","23.29932725429535","-1.206259939703159","-1.8966179040726274"
"HG00176","-34.56476843333803","23.278977571055293","3.8764359215274453","-4.64480313740205"
"HG00177","-41.279186385218054","23.826464240439236","2.535809097578749","-2.2713620360009372"
"HG00178","-44.22921626246534","27.52883431315422","3.0449914793716744","-11.268408758798614"
"HG00179","-42.10232799616642","20.98596888780594","6.9463309368584305","6.358476870460436"
"HG00180","-42.345329253003","24.00674220919609","-5.76200089068152","-7.331340898759663"
"HG00181","-36.54749667341821","24.825029545696452","6.859060172457248","3.1994563289918005"
"HG00182","-31.408339549787343","23.803328869398683","0.06944536743685603","-6.484104254283011"
"HG00183","-44.21260442328639","23.566133151762187","7.660951541271061","-15.10622290871106"
"HG00185","-43.06241636082996","23.742777548264712","1.314805931178853","-8.788760592229664"
"HG00186","-33.91028132045176","24.18381679058075","8.176345721818507","1.9267598515143618"
"HG00187","-34.755131926503964","22.617141366004944","-4.559982966748066","-1.3617738198954612"
"HG00188","-34.48991167638451","25.866493926150724","-2.4774658313253894","-6.792223760508932"
"HG00189","-36.723240167601034","27.666413151891902","1.0930390264838934","-1.0659044401254505"
"HG00190","-39.18074775999412","22.60400902526453","0.4393225023522973","0.07217732479330152"
